ASH2L	GO:0000976
AR	GO:0000976
TFAP4	GO:0000976
CREB3L1	GO:0000976
CRY2	GO:0000976
HINFP	GO:0000976
CCNT1	GO:0000976
MSX2	GO:0000976
NCOR1	GO:0000976
ATF6	GO:0000976
KMT2D	GO:0000976
THRA	GO:0000976
HMGA2	GO:0000976
KLF1	GO:0000976
EGR1	GO:0000976
NKX2-1	GO:0000976
CTCF	GO:0000976
NR5A2	GO:0000976
SMARCA2	GO:0000976
NKX2-5	GO:0000976
CDK5RAP2	GO:0000976
ATF3	GO:0000976
ATF4	GO:0000976
PAX2	GO:0000976
TNF	GO:0000976
PAX6	GO:0000976
SNCA	GO:0000976
PRDM16	GO:0000976
XRCC6	GO:0000976
TP53	GO:0000976
GABPA	GO:0000976
SMAD3	GO:0000976
TP73	GO:0000976
SMAD6	GO:0000976
PROX1	GO:0000976
SP1	GO:0000977
NR2C2	GO:0000977
SP3	GO:0000977
HIF1A	GO:0000977
CDX1	GO:0000977
CDX2	GO:0000977
MSC	GO:0000977
CEBPB	GO:0000977
RPS3	GO:0000977
MYOD1	GO:0000977
MYOG	GO:0000977
NANOG	GO:0000977
MAX	GO:0000977
PEG3	GO:0000977
GATA1	GO:0000977
SREBF1	GO:0000977
DACH1	GO:0000977
GATA4	GO:0000977
ETV5	GO:0000977
ETV6	GO:0000977
IRF2	GO:0000977
GBX2	GO:0000977
ACTN4	GO:0000977
BCOR	GO:0000977
MEF2A	GO:0000977
MEF2C	GO:0000977
MEF2D	GO:0000977
RXRA	GO:0000977
RXRB	GO:0000977
CIC	GO:0000977
PRDM2	GO:0000977
STAT6	GO:0000977
TWIST1	GO:0000977
HOXB8	GO:0000977
KAT2B	GO:0000977
HOXC8	GO:0000977
NR1I2	GO:0000977
HOXC10	GO:0000977
SATB1	GO:0000977
GLI1	GO:0000977
NFIL3	GO:0000977
GLI3	GO:0000977
NFKB1	GO:0000977
NFX1	GO:0000977
HAND1	GO:0000977
NME1	GO:0000977
HSF2	GO:0000977
MNT	GO:0000977
NR1I3	GO:0000977
NR1H4	GO:0000977
CREB3	GO:0000977
FOXC1	GO:0000977
FOXM1	GO:0000977
SATB2	GO:0000977
RARA	GO:0000977
LHX4	GO:0000977
RB1	GO:0000977
RBL1	GO:0000977
RBL2	GO:0000977
HMX3	GO:0000977
FOSL2	GO:0000977
ZBTB4	GO:0000977
AIRE	GO:0000977
XBP1	GO:0000977
E2F2	GO:0000977
E2F3	GO:0000977
