GO-LABEL	PROTEIN	GO-LABEL-TYPE
GO:0000287	ATP9B	molecular_function
GO:0000287	ATP8B1	molecular_function
GO:0000287	EYA2	molecular_function
GO:0000287	PSPH	molecular_function
GO:0000287	SUCLG2	molecular_function
GO:0000287	SUCLA2	molecular_function
GO:0000287	MAST2	molecular_function
GO:0000287	ADCY2	molecular_function
GO:0000287	GEM	molecular_function
GO:0000287	ENOPH1	molecular_function
GO:0000287	PGM1	molecular_function
GO:0000287	NLRC4	molecular_function
GO:0000287	PGM3	molecular_function
GO:0000287	PGM5	molecular_function
GO:0000287	PRTFDC1	molecular_function
GO:0000287	RRAGC	molecular_function
GO:0000287	MAP3K5	molecular_function
GO:0000287	ITPK1	molecular_function
GO:0000287	PRPS1L1	molecular_function
GO:0000287	ENO4	molecular_function
GO:0000287	STK3	molecular_function
GO:0000287	STK4	molecular_function
GO:0000287	XYLT2	molecular_function
GO:0000287	STK11	molecular_function
GO:0000287	NUDT12	molecular_function
GO:0000287	NT5C1A	molecular_function
GO:0000287	ADPRH	molecular_function
GO:0000287	S100P	molecular_function
GO:0000287	MAST4	molecular_function
GO:0000287	MAPK12	molecular_function
GO:0000287	ATP8A1	molecular_function
GO:0000287	ATP11B	molecular_function
GO:0000287	PAPOLA	molecular_function
GO:0000287	GCLC	molecular_function
GO:0000287	HPGDS	molecular_function
GO:0000287	SPHK1	molecular_function
GO:0000287	HPRT1	molecular_function
GO:0000287	MOV10L1	molecular_function
GO:0000287	FEN1	molecular_function
GO:0000287	THG1L	molecular_function
GO:0000287	PKLR	molecular_function
GO:0000287	RPS6KA6	molecular_function
GO:0000287	PKM	molecular_function
GO:0000287	SIK2	molecular_function
GO:0000287	PDXP	molecular_function
GO:0000287	ATP11C	molecular_function
GO:0000287	YDJC	molecular_function
GO:0000287	GNAI1	molecular_function
GO:0000287	ATP11A	molecular_function
GO:0000287	TESC	molecular_function
GO:0000287	OXSR1	molecular_function
GO:0000287	PLSCR3	molecular_function
GO:0000287	TSSK3	molecular_function
GO:0000287	NME1	molecular_function
GO:0000287	PGP	molecular_function
GO:0000287	PLK1	molecular_function
GO:0000287	MAP3K7	molecular_function
GO:0000287	DCTPP1	molecular_function
GO:0000287	PLSCR1	molecular_function
GO:0000287	ILVBL	molecular_function
GO:0000287	PPM1N	molecular_function
GO:0000287	PIF1	molecular_function
GO:0000287	ALPI	molecular_function
GO:0000287	ALPP	molecular_function
GO:0000287	DYRK3	molecular_function
GO:0000287	DYRK2	molecular_function
GO:0000287	ENOSF1	molecular_function
GO:0000287	ATP8B3	molecular_function
GO:0000287	CDC42BPG	molecular_function
GO:0000287	RAN	molecular_function
GO:0000287	CERK	molecular_function
GO:0000287	CIB2	molecular_function
GO:0000287	RAP2A	molecular_function
GO:0000287	NUDT7	molecular_function
GO:0000287	RPS6KA4	molecular_function
GO:0000287	CDC42BPA	molecular_function
GO:0000287	NUDT16	molecular_function
GO:0000287	COMT	molecular_function
GO:0000287	PDCD6	molecular_function
GO:0000287	WEE1	molecular_function
GO:0000287	MAP3K8	molecular_function
GO:0000287	DUT	molecular_function
GO:0000287	WRN	molecular_function
GO:0000287	BRSK2	molecular_function
GO:0000287	TPPP	molecular_function
GO:0000287	UBA2	molecular_function
GO:0000287	FARSB	molecular_function
GO:0000287	THTPA	molecular_function
GO:0000287	SRR	molecular_function
GO:0000287	MSH2	molecular_function
GO:0000287	TDG	molecular_function
GO:0000287	PPA1	molecular_function
GO:0000287	IDH1	molecular_function
GO:0000287	IDH2	molecular_function
GO:0000287	IDH3A	molecular_function
GO:0000287	IDH3B	molecular_function
GO:0000287	IDH3G	molecular_function
GO:0000287	SIK3	molecular_function
GO:0000287	ATP9A	molecular_function
GO:0000287	MORC2	molecular_function
GO:0000287	ERN2	molecular_function
GO:0000287	MAP3K6	molecular_function
GO:0000287	CDC42BPB	molecular_function
GO:0000287	ATP10A	molecular_function
GO:0000287	NT5C1B	molecular_function
GO:0000287	MTPAP	molecular_function
GO:0000287	ATP8B2	molecular_function
GO:0000287	TDP2	molecular_function
GO:0000287	OPA1	molecular_function
GO:0000287	NCS1	molecular_function
GO:0000287	PPM1A	molecular_function
GO:0000287	ARF1	molecular_function
GO:0000287	PPM1B	molecular_function
GO:0000287	RHEB	molecular_function
GO:0000287	GSS	molecular_function
GO:0000287	PDXK	molecular_function
GO:0000287	ATP10D	molecular_function
GO:0000287	FAN1	molecular_function
GO:0000287	NUAK2	molecular_function
GO:0000287	MSH6	molecular_function
GO:0000287	ARL3	molecular_function
GO:0000287	LATS1	molecular_function
GO:0000287	NUDT5	molecular_function
GO:0000287	NUDT3	molecular_function
GO:0000287	CLYBL	molecular_function
GO:0000287	TKT	molecular_function
GO:0000287	EXD2	molecular_function
GO:0000287	PPA2	molecular_function
GO:0000287	PRKACA	molecular_function
GO:0000287	PRKACB	molecular_function
GO:0000287	IRAK4	molecular_function
GO:0000287	XXYLT1	molecular_function
GO:0000287	MAST1	molecular_function
GO:0000287	IRAK3	molecular_function
GO:0000287	HACL1	molecular_function
GO:0000287	TREX2	molecular_function
GO:0000287	RP2	molecular_function
GO:0000287	ADPRHL1	molecular_function
GO:0000287	WEE2	molecular_function
GO:0000287	MARK2	molecular_function
GO:0000287	SNCA	molecular_function
GO:0000287	BRSK1	molecular_function
GO:0000287	RNASEH1	molecular_function
GO:0000287	STK38L	molecular_function
GO:0000287	ENDOV	molecular_function
GO:0000287	TSSK1B	molecular_function
GO:0000287	ENO1	molecular_function
GO:0000287	MAP2K7	molecular_function
GO:0000287	ENO2	molecular_function
GO:0000287	ENO3	molecular_function
GO:0000287	PGM2	molecular_function
GO:0000287	FIGNL1	molecular_function
GO:0000287	TSSK4	molecular_function
GO:0000287	ATP4A	molecular_function
GO:0000287	GEN1	molecular_function
GO:0000287	PCK1	molecular_function
GO:0000287	TOP2A	molecular_function
GO:0000287	NLK	molecular_function
GO:0000287	MVK	molecular_function
GO:0000287	MAST3	molecular_function
GO:0000287	PINK1	molecular_function
GO:0000287	PRPS1	molecular_function
GO:0000339	EIF4G3	molecular_function
GO:0000339	NCBP2	molecular_function
GO:0000339	NCBP2L	molecular_function
GO:0000339	LARP1	molecular_function
GO:0000339	IFIT5	molecular_function
GO:0000339	NCBP1	molecular_function
GO:0000339	EIF4A1	molecular_function
GO:0000339	SNUPN	molecular_function
GO:0000339	LSM1	molecular_function
GO:0000339	EIF4E	molecular_function
GO:0000339	EIF4E2	molecular_function
GO:0000400	BLM	molecular_function
GO:0000400	RAD51B	molecular_function
GO:0000400	RAD51C	molecular_function
GO:0000400	RAD51D	molecular_function
GO:0000400	FANCM	molecular_function
